店舗ID,店舗名,ジャンル,総合評価,店舗URL,レビュアー,レビュー評価,レビュー日付,レビュー本文
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2023/07訪問
1
回目","日曜日の昼にその夜の分の席を予約。17時入店だったので空いていたが19時前には満席に近くなっていた。
店員さんは東アジア系の方が多く、サービス精神溢れる接客で店内も明るい雰囲気。
キムチやサラダはやや独特なメニューだったがいずれも美味しい。
お肉は可もなく不可もなく。上牛タンが一番美味しかったが6切れで2,180円とややお高め。
お酒飲まずに二人で9,500円。練馬という土地柄のせいだが、コスパはやや周囲店に劣るかもしれないが店内が綺麗なのでその点はありがたい。"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2023/06訪問
1
回目","キムチが特徴的でした。キャベツの芯の部分の水々しい食感はそのままなのですが、しっかり甘辛い味がついていてお酒にも合います。
山形牛を使っているとの事で、きめ細やかで適度にサシが入った上質なお肉を堪能できます。豪快にスライスされたお肉を店員さんが軽く炙ってもらいポン酢でいただく事もできるのでお勧めです。
綺麗で落ち着いた店内なのでゆっくり食べられました。"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2023/06訪問
1
回目","前は韓国料理屋さんだったところに、焼肉屋ができたと春ごろに噂で知りました。
なかなか行けなかったけど、とある平日に勇気を出して一人焼肉で参戦。
事前にSNSとかで下調べする限りは、良さげな感じで少々ハードル高めに入店。
まぁ、何せこの辺りはコスパの良い人気焼き肉店がチョコチョコありますからね。

まだ17時台だったので、先客なしでした。一人だったのでカウンター覚悟で入店しましたが、ボックスの4人掛けテーブル席に通してくれました。あざす！

座る前に、ソファの下に荷物入れられますアピール。
（心の声：え、ほぼ荷物ないし一人だから大丈夫ですけど）
着席早々、飲み物だけ先に聞かれ生ビールをオーダー。
その後、案内されたのが、QRコード（自分のスマホ）でのオーダースタイル。えーマジか。時代だな。
客が私だけなのでファーストドリンクは瞬時に出てくる。お通しはナシ。
レモン・岩塩わさび、タレ　の３種類が入ったタレセットがすぐにくる。
そして、なにも食べ物のオーダーしていないのに焼き台に火をつけられる。（焼き台はガスです）
（心の声：まだ何もオーダーしてないのに火つける？？暑くない？生ものゆっくり食べたかったらどうするのよ、ま、一人で食べきれないから注文しないけど。）

メニューは税抜き価格表示がでかいので要注意。お肉は一部ハーフサイズがあり、一人焼肉には嬉しい。
下記をオーダー。

・白菜キムチ・・・・一番期待はずれ。コンビニのキムチレベル。（スーパーの鶴橋キムチの方がまだマシ）
・上タン塩ハーフ・・・程よい厚み◎柔らかく美味　1,309円
┗ハーフサイズは３枚。普通より少し割高かも？
・ハラミハーフ　848円◎
・中落ちカルビハーフ　649円◎
・サンチュ（きゅうりスライスとネギのみじん切りつき）
・ビビンパハーフ　528円
┗ハーフの割に量が多く（特にライスが多い）、普通サイズは大盛！？って思っちゃった。
ナムルの味チェックも兼ねてたんですが、なんの特徴もなくむしろ薄味すぎて・・・。
コチュジャンをお願いしたら、いちいち小皿にスプーン一杯ぐらいしかくれなくて、
何回もお願いしました。マジ、この時間と小皿とスプーンが無駄。
テーブルに置いておいて欲しい。。。
普通、ビビンパについてくるミニスープはつかなかったです。結構辛かった・・・・。

お肉は、スマホのデジタルオーダーだと、たれや塩が選べず・・・ハラミとカルビは塩だれで出てきました。後から来たお客さんがオーダーしているのが聞こえてきて、タレか塩か聞いてたから、私にも確認してほしかった・・・。タレで食べたかった・・・。

えー・・・総合的には赤身の高いお肉は、値段相応に美味しいですが、
その他焼肉店としては全く好みではなかったし、特長と言えるポイントがなかったので再訪はないかな・・一人焼肉しやすい雰囲気なのに残念。。。"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2023/05訪問
1
回目","最近オープンしたらしい肉屋直営の焼肉店

肉が旨いのはもちろん、値段の割にどれもボリューミー。分厚い牛タンを頬張ると、口の中が牛タンと自分の舌で一杯に。タン祭り開催！ レバーはさっと炙ってごま油塩（無料）で。臭みもなく濃厚なレバーの旨味。予想以上に美味かったのがイカ焼き。丁寧に包丁が入れられたイカはフワフワに柔らかく、お代わりしちゃいました。肉屋なのにイカもうまい！
サラダもキムチもそれぞれ際立った味付けで引き立ててくれます。最後の締めはたまごスープ。コチュジャン（無料）を少し溶かして味変もイケる。
ドリンクは、すっきりトマトサワーがオススメ。トマトジュースっぽさのない甘みと爽やかさ。
スピーディーで丁寧な接客も心地良い。また来ます。"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2023/04訪問
1
回目","練馬にオープンされた焼肉の新店舗「ここ肉」さんに誘われて行ってきました。
練馬は築地新富町から有楽町線で1本なので便利なんですよね。

場所は練馬駅の中央北口から出て道路を渡り、北口商店街方面へ歩いて5分ぐらい。

オープンされたばかりでニューオープンとお肉のいい香りがします。

入ってすぐの入口のカウンター席に案内されて着席。
横並びで一緒に焼肉パーティのスタートです。
焼台は僕の大好きなガス台。
少し大きめのガス台で、このガスにお肉の脂があたって蒸発するときの香りがTHE焼肉！！！って感じがしてたまらんのです。

まずは生ビールで乾杯！

注文したのはこんな感じで。

生キムチ
ここロース
特選みすじ
ホルモン(タレ
和牛ユッケ(低温調理)
ライス大
上タン塩
銘柄鶏セセリ
冷麺

ドリンクはおかわりで
ここレモンサワー
緑茶ハイ
レモンサワー
翠ジンソーダ
黒霧島グラス芋ソーダ割り

生キムチサラダも激旨です。
まずは低温調理された和牛ユッケでいきなりうまい。
オープン企画で食べ比べメニューがロース、カルビ、ハラミと超お得でして、これをまずいいただきました。

お肉はここロースが特に魅力的。
お肉の甘みが口いっぱいに広がって幸せになります。

ライスの上に載せてお米と一緒にいただけば、それはもう至福のとき。

ホルモンのタレは、最近名古屋でとんちゃんを食べてきたばかりなので、そんなのを期待して注文しましたが、まさにこれです！
とんちゃんです。

すごく美味しくてビールもご飯も進みます。

〆の冷麺もさっぱりとして麺はチュルチュル。
心地よく頂いてお腹もいっぱいでございます。

ごちそうさまでした。

また来ます！"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2025/06訪問
1
回目",お肉はしっかり厚くて柔らかい。美味しかった！店員さんも親切でした。
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2024/02訪問
1
回目","清潔な雰囲気のお店で、お得なセットメニューなどもあり女性一人でも入りやすいお店です。実際、一人焼肉を楽しんでいる方をよく見かけます。
メニューも豊富で、それぞれお肉が美味。石焼きビビンパも辛めで美味しかったです。
ただ、来店当日期限の金券をもらっていたのですが、サービスメニューには使えないと言われてちょっとガッカリしました。"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2023/11訪問
1
回目",2回目の訪問。近隣の焼肉屋を何店か巡りましたが、ここ肉さんは肉質がとても良く、丁寧に調理されていて気に入り、再訪しました。店員さんの接客もとてもよく、2回目の来店でしたが覚えてくれていました。近隣に多い安い値段で大量にお客をさばくお店と違い、ゆっくりお肉の味自体を堪能できました。特にここロースがオススメです。これは他店だと上ロースかな。店員さんに勧められた鳥のセセリも、焼肉屋で鳥肉はあまり食べないので意外でしたがとても美味しかったです。厨房の人数が少ないからか、メニューがもう少しバラエティーに増えると頻繁に通ってしまいそうです。
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2023/05訪問
1
回目","開店したばかりのお店らしいです。
山形牛を使用しているそうです。
牛タンがめちゃくちゃ美味しかった❤️"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2023/04訪問
1
回目","初めて行きました！
ハラミとタン、サラダキムチが美味しかったです！！"
